result_3
;Отзыв;Оценка
338;"Купила этот крем практически случайно. Мой тональный крем Maebelline Affiniton подходил к концу, я им пользуюсь уже не один год, нашла свой оттенок и постоянно покупала только его. Хотелось хотя бы на время сменить марку и крем. Выбрала оттенок Nude. У меня розовый подтон кожи, потому кремы типа ""беж"" и производные мне не подходят, желтят. Идеально мне подходит так называемый ""землистый"" оттенок тональных средств, они хороши сливаются с кожей. Мой идеал - это оттенок 23 знаменитого корейского Missha. Но при всей любви к нему, он всё-таки лучше подходит для зимы.Так что нюдовый оттенок бб от Патрисии Ледо взяла чисто на пробу, на замену. 










 










 










Цена на момент покупки в Еве 169 грн, эквивалентно примерно 5$Объем 30 мл.Крем в тубе. Дозатор и дозатором не назвать, но выдает крем нормально, мне достаточно одного надавливания. Наверное, когда крема останется меньше половины, станет неудобно выдавливать. Вообще крышка флип-топ (откидная) - не лучший вариант для тональных средств. Удобнее, когда крышка отвинчивается.Сам крем чуточку более плотный чем Мейбеллин, то есть не жидкий, но и не густой совсем.Распределяется по коже отлично. 










Моя кожа:Всё печально. Ранее она была у меня непроблемная, довольно чистая. Но увы, в последнее время она совсем не радует, думаю такие стрессы даром не проходят ни у кого, аукается у кого на внешности, у кого на психике. Из-за нервов меняется гормональный фон, соответственно кожа тоже претерпевает изменения.Мне 38 лет, в холодное время года появляются покраснения, шелушения, мелкие прыщики какие-то. Тип кожи комбинированный.Для того, чтобы показать действие крема, сфоткала самую жесть. Я замерзла и болела голова. В такие моменты красоткой быть проблематично. Зато крему есть над чем поработать и что скрыть)) 










Здесь я размазала крем, так он выглядит сразу после нанесения. 










А это спустя минут 10, когда уже дал усадку. 










 










Можно зафиксировать пудрой, будет лучше держаться В целом этот ВВ-крем мне понравился:недорогой;подстраивается под цвет кожи;выравнивает тон, скрывает пятна и неровности;на лице держится целый день.Минусы:мало оттенков и все светлые. Я бы хотела хотя бы для сравнения попробовать что-то чуть темнее.Особенности:не то, чтобы прям легкий, плотнее чем Мейбеллин, но легче чем MisshaНа свою цену справляется с поставленными задачами очень даже хорошо.";4
339;"Всем добрый день! Мой повседневный макияж максимально простой - карандаш для бровей, тушь и матовая помада. Я даже СС-крем наношу в редких случаях. Более тщательно я крашусь только если собираюсь на какое-то событие или мероприятие. Хотя и тогда все максимально просто. Много лет у меня даже не было тональной основы. Приобрела совсем недавно и сегодня хочу рассказать о своих впечатлениях от использования Essence Stay All Day 16h Long-Lasting Make-Up. Тональный крем Essence Stay All Day 16h Long-Lasting Make-Up 










Тональный крем Essence Stay All Day 16h Long-Lasting Make-Up отзывыЦена: от 450 до 650 рублей (зависит от места покупки)Объем: 30 млСтрана-изготовитель: ГерманияТип кожи: для всех типов Финиш: матовый Тональный крем Stay All Day 16h Long-Lasting Make-Up от Essence - это стойкая тональная основа с плотным покрытием, которая великолепно держится в течение всего дня и предотвращает появление жирного блеска. Крем находится в прозрачном стеклянно флаконе с пластиковой крышечкойНа обратной стороне указаны:составинформация о брендесроки годностирекомендации по использованиюописание ожидаемого результата 










Тональный крем Essence Stay All Day 16h Long-Lasting Make-Up отзывыКрем НЕ СОДЕРЖИТ парабенов, силиконов, масел и спирта 










Тональный крем Essence Stay All Day 16h Long-Lasting Make-Up отзывыПод пластиковой крышечкой находится дозатор 










Тональный крем Essence Stay All Day 16h Long-Lasting Make-Up отзывыОн очень удобный.Достаточно легкого касания, чтобы извлечь нужное количество средства наружуПри нажатии он не плюется и не заедает 










Тональный крем Essence Stay All Day 16h Long-Lasting Make-Up отзывыКрем оптимальной консистенции - довольно легкий и при этом не жидкийЛегко наносится и распределяется, я бы даже сказала, что скользит по коже 










Тональный крем Essence Stay All Day 16h Long-Lasting Make-Up отзывы 










Тональный крем Essence Stay All Day 16h Long-Lasting Make-Up отзывыАромат косметический, еле ощутимый Оттенок05 Soft Cream - нежный кремовыйЭто самый светлый оттенок в линейке 










Тональный крем Essence Stay All Day 16h Long-Lasting Make-Up отзывыУ меня смуглая кожа, летом я очень быстро загораюИ тем не менее этот светлый оттенок мне отлично подошелОн не выглядит маской, не выбеливает кожу, а как будто бы подстраивается под ее оттенок НанесениеТональный крем отлично распределяется по кожеХорошо растушевываетсяМожно наносить его специальным спонжиком, а можно просто пальцами, как яКрем не полосит и ложится пятнамиС первого слоя отлично перекрывает цвет и скрывает все недостатки 










Тональный крем Essence Stay All Day 16h Long-Lasting Make-Up отзывыКожу не сушитНо может подчеркнуть шелушения и рельеф, так как имеет довольно плотную текстуру 










Тональный крем Essence Stay All Day 16h Long-Lasting Make-Up отзывыСтойкостьСкорее средняяКрем остается на коже в течение всего дня, не течетНо к вечеру как бы исчезает к кожиНа телефоне отпечатывается Мне нравится как он смотрится на коже.Он прекрасно маскирует все недостатки и скроет даже сильные покраснения или пост-акнеНо в тоже время он подчеркивает несовершенства в рельефе и расширенные поры 










Тональный крем Essence Stay All Day 16h Long-Lasting Make-Up отзывыТональный крем Essence Stay All Day 16h Long-Lasting Make-Up оценят девушки, которые любят плотные перекрывающие основы без эффекта маски. Мне понравился этот тональный крем за:легкую текстурууниверсальный светлый оттенокбюджетную стоимостьбольшой объемхорошую стойкостьхороший составудобный дозаторК покупке рекомендую! 










Тональный крем Essence Stay All Day 16h Long-Lasting Make-Up отзывы";5
340;"Всем привет ☺️ Мне 27 лет. Кожа лица у меня не проблемная, нет прыщей и высыпаний. Однако, склонная к сухости, поэтому нуждается в постоянном уходе. Тональным кремом я пользуюсь исключительно, чтобы цвет кожи был более ровным. Да и лицо с ним выглядит ухоженным. Сразу скажу, что матирующие тональные средства не для меня. Мне нравится гладкий увлажненный финиш. Крем Clinique Even Better Refresh для восстановления и увлажнения кожи я купила на сайте Лэтуаль, 30 мл в оттенке CN 28 Ivory.  










Красивая коробочка с цветами свойственна тональным продуктам от Clinique. Сразу создается ощущение весны и свежести 🌷 










Сам тюбик удобно держать в руках, не скользит. Единственное на серебристых участках не избежать отпечатков пальцев. Так как я распределяю крем сначала руками, затем вбиваю спонжиком.  










Крем не жидкий, не имеет выраженного запаха. Удобный дозатор. Мне крема требуется совсем немного. Хватает крема мне надолго. Я не люблю плотное покрытие и очень боялась, что крем будет плотный. Наношу тонким слоем и крем ведёт себя хорошо. 










Перед нанесением обязательно увлажняю кожу. Мне понравилось данное тональное средство. На лице не ощущается. Возможно оно не подойдет другому типу кожи.";5
341;Эффект ретуши в жизни или маркетинговый ход? Производитель обещает нам эффект фотошопа как с высококачественной обработки, но так ли оно на самом деле? С первого взгляда упаковка цепляет интересным оформлением и многообещающими надписями на задней стороне. Второй тон-Berlin подойдёт для девушек со светлой кожей, для белоснежек-не вариант. Тон приятный, немного матовый, не скатывается, но при носке более 5 часов немного окисляется(достаточно хороший результат). Но что же с обещанным эффектом фотошопа? К сожалению это маркетинговый ход. Тон сам по себе не плотный, покраснения и другие дефекты кожи может и не перекрыть. Учитывая тот факт, что крем был приобретён за 299 русских рублей(по скидке), то я могу оценить его на 4 из 5.;4
342;Очень люблю уж косметику от Eveline, но этот тон меня уж немного разочаровал. Кожа у меня жирная и для меня не новость, когда тон скатывается через 5-6 часов,но этот тон что с пудрой,что с хорошей подготовкой кожи скатывается и желтит уже через 2 часа. Подчёркивает все шелушения, ложится маской, что аж побыстрее смыть хочется. Но всё таки радует, что пусть с оттенком я прогадала, но тон подстраивается под цвет кожи и не так желтит, как изначально кажется.Возможно за свои деньги тон хороший, но я как человек, перепробовший почти всю линейку тональных средств от Eveline, такого еще не видела. В общем, ожидания мои не оправдал, для жирной кожи не советовала бы.;3
343;"Тональными средствами приходится пользоваться часто, поэтому стараюсь искать новые и современные. Естественно выбираю хорошего качества)Guerlain L'Essentiel Тональное средство для лица с матовым эффектом SPF15 










У меня небольшая миниатюра крема, объем которой составляет всего 5 мл. Для меня этого вполне достаточно, чтобы составить общее впечатление об этом средстве.Упаковка черного цвета, с лицевой стороны на ней написано название и указана фирма - производитель.Описание:Guerlain вновь с успехом объединяет натуральность и эффективность. Тональное средство с матирующим эффектом содержит 96% природных ингредиентов*, идеально ложится на кожу и сохраняет стойкость в течение 24 часов.Само средство находится в небольшом стеклянном флакончике с завинчивающейся крышкой. Под крышкой находится специальный дозатор. У меня оттенок 01 (слоновая кость), холодный. 










Основные компоненты состава:Экстракт растительного шелка нежно матирует кожу, при этом не пересушивает ее и не создает эффект маски.Экстракты смолы Тара и красных морских водорослей стоят на страже красоты и позволяют коже дышать.Концентраты красоты, к которым относятся экстракт белых бобов какао и производные пробиотиков и пребиотиков, оптимизируют увлажнение кожи и укрепляют ее защитный барьер. 🌺 Производитель - GUERLAIN,🌺 Страна производства - Франция,🌺 Объем полноразмерный 30 мл.,🌺 Срок годности три года,🌺 Приобрести можно в специализированных и интернет-магазинах. Я обычно наношу это средство при помощи специальной кисти и равномерно распределяю. Ложится крем ровно и хорошо распределяется. Не могу сказать о том, что он маскирует все недостатки кожи, но половину - это точно!Текстура средняя и не слишком жидкая, аромат косметически и не резкий. 










Рекомендации по применению:Наносить на подготовленную кожу лица при помощи кисти либо спонжа.Тон для меня оказался очень светлым, поэтому при покупке полноразмерного - возьму потемнее.Держится на коже хорошо в течение всего дня - не требует дополнительных исправлений.Мои основные впечатления от использования этого средства:* хорошо ложится на кожу лица и равномерно распределяется на ней,* имеет в составе много натуральных и полезных для кожи компонентов,* легкая текстура и не резкий аромат,* хорошо маскирует мелкие недостатки,* нормально держится в течение всего дня,* не сушит кожу лица.В общем крем мне понравился и подумываю о приобретении полноразмерного флакона.Спасибо за внимание к отзыву!";4
344;"Всем привет!В последнее время привыкла к тональным кремам ВВ от АРКО. А недавно у дочери заметила маленький тюбик ЮниLook. В свои 14 она, на мой взгляд, часто пользуется тональным средством, но поделать ничего не могу. Переходный возраст и изменения на коже лица-без него она и в школу не пойдет.Решила протестировать на себе, дочь нахваливает, а как же отреагирует моя кожа?Внешний вид.Небольшой компактный тюбик бежевого цвета с логотипом на лицевой стороне. Там же указан объем и цвет тональника. На обратной стороне состав, срок годности и производитель. Также информация о тоне-02 натуральный. 










Крем тональный ЮниLookЧерная крышка в форме квадрата легко открывается, стоит лишь слегка повернуть на себя. 










Тональный крем ЮниLookДизайн упаковки вполне обычный, объем всего 30 мл, как аз подходит для того, надо ли, подходит ли данное средство.Состав.Указан понятно и в доступной форме на обратной стороне тюбика. На мой взгляд, сплошь раздражители и аллергены. Но большой плюс в том что производитель ничего не утаил. А вообще, и цена для тональника смешная, в районе 150 рублей, поэтому и на натуральность мы не претендуем.Органолептические свойства тонального крема.Крем бежевого (все как заявлено) цвета, без запаха. По ощущениям жирноватый и плотненький. То что указано на фото-я перестаралась, для кожи лица хватит и половины того что оказалось у меня на руке. Поэтому расход можно назвать экономичным. 










Органолептические свойстваНа коже крем не ощущается, липкости и пленки нет, но если перестараться, одежду при соприкосновении конечно испачкает, еще и пятнышки оставит.Впечатления от использования крема.Мне 35, кожа неидеальная. Есть небольшие покраснения и пигментация на щеках.Крем идеально скрывает несовершенства. Фото рук- на левой тональное средство. 










Впечатления от использованияВечернее время и дневной свет. Также отчетливо видно и чувствуется-крем забивает поры. То есть кожа не дышит, а это ведет к появлению новых покраснений на моем лице. Не скатывается, не липнет, личико приобретает естественный сияющий цвет, причем крем действует длительное время.Мне тональный крем понравился, но это средство не на каждый день, так как, считаю, кожа должна дышать и как можно меньше подвергаться различным раздражителям, входящим в состав. 










Крем тональный тон2 натуральныйСоветую присмотреться, если используете тональное средство не каждый день и не боитесь состава, указанного на упаковке.Кстати, дочке крем подходит, кожа у нее нормального типа, с небольшими высыпаниями. И новых не образуется, а старые прекрасно маскируются. Так что для девушек такой тональный крем идеальный вариант. Но повторюсь-не на каждый день. Кожа должна отдыхать и сиять свежестью.Спасибо за внимание!Здоровья и Теплого Солнышка!";4
345;"🌺 Дорогие друзья, хочу поделиться с вами отзывом на заслуживающий внимание и относительно недорогой корейский тональный крем бренда ENOUGH 8 Peptide Full Cover Perfect Foundation.Антивозрастной тональный крем с 8 пептидами Enough 8 Peptide Full Cover Perfect Foundation SPF50+ PA+++ создаёт на коже гладкое покрытие, которое маскирует покраснение и неровности тона, не западает в поры и морщинки, дарит естественный сатиновый финиш. Тональная основа не пересушивает и не подчеркивает шелушение за счёт увлажняющих активов в составе. Содержит комплекс 8 пептидов, коллаген, гиалуроновую кислоту, экстракт центеллы и бета-глюкан. Обеспечивает дополнительную защиту от солнца. 










Тональный крем ENOUGH 8 Peptide Full Cover Perfect Foundation🌺 В связи с тем, что в сети сейчас продается огромное количество подделок не только на дорогую парфюмерию, но даже и на недорогие бренды, хочу предупредить всех заинтересовавшихся данным продуктом об опасности приобретения фейка. 🌺 Это недорогая тональная основа, которую сейчас можно приобрести в Летуаль за чуть более 700 рублей. Я брала в ""Подружке"" за 889 рублей (у меня нет карты Подружки, получилось за полную стоимость, но я не жалею о покупке). 🌺 Потому что ранее приобретала на Вайлдберис и на Озоне и это совершенно разные продукты. Тон темнее, все время разнится, отдает в рыжину, дает чрезмерный нежелательный блеск и при этом сухость кожи. И он хуже, с моей точки зрения, даже дешевого кушона. Таким образом, разница в цене подделки и оригинального крема составляет 200-300 рублей. Думаю, ответ на вопрос, стоит ли купить подороже, но в проверенном магазине, очевиден.🌺 Итак, о продукте:Увлажняющая тональная основа с пептидами и гиалуроновой кислотой не только маскирует несовершенства, но и великолепно ухаживает за кожей, глубоко увлажняя её. Входящий в состав коллаген, препятствует появлению первых признаков возрастных изменений и появлению морщин. Тональная основа обладает комфортной кремовой текстурой и придаёт коже роскошный сатиновый финиш.🌺 У меня самый светлый, 13 тон. Именно он отлично подходит под нашу ""сероватую"" европейскую кожу, отлично подстраивается под тон.Продается вот в такой красивой коробочке. 










Тональный крем ENOUGH 8 Peptide Full Cover Perfect FoundationИ на баночке с кремом и на коробке размещена информация о продукте и есть наклейка: 










Тональный крем ENOUGH 8 Peptide Full Cover Perfect Foundation 










Тональный крем ENOUGH 8 Peptide Full Cover Perfect FoundationНужно отметить, что крема хватает очень надолго. У тонального средства отличная укрывистость. На следующем фото (на моем мониторе во всяком случае) тон передан максимально приближенно. В нем нет рыживизны, которая присутствует в поддельном креме. 










Тональный крем ENOUGH 8 Peptide Full Cover Perfect FoundationПосле распределения он полностью становится незаметным. Он перекрывает все недостатки кожи! Крем с удобным дозатором. Способ применения:Нанесите необходимое количество тонального средства и равномерно растушуйте, используя специальный спонж, кисть или подушечки пальцев.  










Тональный крем ENOUGH 8 Peptide Full Cover Perfect FoundationНесколько лет назад из-за высокой цены я перешла с тональных кремов люксового сегмента на тональные средства Ив Роше. Но в последнее время они перестали меня устраивать, мне кажется, испортилось качество: кремы скатываются, ничего не перекрывают, подчеркивают шелушения и мелкие морщины, кроме того, они дороги для своего качества (с моей точки зрения). Китайско-корейские кушоны - это другая крайность. Но их надо наносить на подготовленную кожу и на основу, тогда эффект будет лучше. Тем не менее, могут давать нежелательный блеск.🌺 Крем 8 пептидов для меня оказался идеальным!🌺 Состав: Purified Water, Cyclopentasiloxane, Titanium Dioxide, Cyclo Hexasiloxane, Ethyl Hexylmethoxy Cinnamate, Caprylic / Capric Triglyceride, Glycerin, Zinc Oxide, Cyclomethicone, Dimethicone, Butyl Langley Cole, Arbutin, CetylPhigi / P Pizza -10/1 Diemethicone, Solbitan Sesquioleate, 4-Methyl Benzylidene Camper, Ozokerite, Sodium Chloride, Fiji-10 Dimethicone, Die Methicone / Vinyl Dimethicone Cross-Polymer, Yellow Iron Oxide, Sodium Hyaluronate, Magnesium Aluminum Silicate, Phenoxy Ethanol, Red Iron Oxide, Black Iron Oxide, Methicone, Beta-Glucan, Triethoxypriacrylyl Silane Hydrolyzed de Collagen, Flavoring, Adenosine, Centella asiatica Extract, HS-Deca Peptide-7 (0.001ppm), HS-octapeptide Id -4 (0.001ppm). Es secondary-oligo peptide-9 (0,001 ppm), es-penta peptide -19 (0,001 ppm), octa peptide-7 (0.00 ppm), es secondary-deca peptide-9 (0.001 ppm), caffe oil Tripeptide -10,001 ppm), HS oligo peptide-40,0001 ppm).Экоголик нашел не все и, конечно, не одобряет: 










 










Тональный крем ENOUGH 8 Peptide Full Cover Perfect Foundation🌺 Крем не подчеркивает шелушения, прекрасно наносится как спонжем, так и руками, оказывает ухаживающее воздействие на кожу: она увлажнена в течение всего дня, тон денржится целый рабочий день и не скатывается. У меня многослойная ""подложка"" с утра на кожу лица:🌺 маска🌺 патчи🌺 капелька масла🌺 дневной крем🌺 крем-основа🌺 и только затем - тональный крем.Тональный крем ENOUGH 8 Peptide Full Cover Perfect Foundation отлично справляется со своим предназначением и, как я уже упоминала, ухаживает за кожей. После того как я открыла это средство, то выбросила все остальные. 










Тональный крем ENOUGH 8 Peptide Full Cover Perfect FoundationПоэтому, друзья, я от души рекомендую его попробовать каждому, возможно, вы как и я останетесь довольны качеством.🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺Благодарю за внимание, приятных всем покупок, избегайте подделок!";5
346;"Всем привет! Сегодня хочу рассказать о своем опыте использования тонального крема (или тональной вуали, как ее назвал производитель) от марки SHISEIDO - synchro skin self-refreshing tint. 










Покупка была сделана по осени в Летуаль, с учетом всех всех всех акций, которых было тогда много, крем вышел мне 2300 тыс. Привлекли меня слова консультанта, что их тональные средства не выбираются по типу кожи и являются универсальными для всех. Нужно просто выбирать что нравится. Отношусь я к этому скептически, если честно, но почему то в тот раз впечатлилась😃 










МОя кожа: жирная, пориста, подверженные высыпаниям, 30+, имеются покраснения и пигментация. Понимаете, да, что я в вечном поиске идеального тона, который будет стойким, не будет лежать маской при этом хорошо скроет недостатки.Последнее время все больше склоняюсь к более тонким текстурам, не хочется ходить в огромном слое крема. Поэтому крем- вуаль поехала со мной домой. Итак, упаковка: ничего необычного и супер привлекательного, при этом удобна в использовании, тонкий носик дает возможность хорошо дозировать крем.  










Текстура: тончайшая, приятнейшая, кажется немного жирненькой, но спустя время на коже оставляет лишь едва заметное свечение. Мне крем раздражал иногда глаза, если наносила не очень аккуратно. Плюс спустя какое то время я подумала: что происходит с моей кожей? Ее не берет никакая пудра, через 15 мин я как блином обмазана, вся красная и непонятно какая. Почему то на крем я даже не подумала. Сначала он лежал лучше. Но стоило спустя время вернуться к уже привычному продукту - кожа угомонилась.  В общем, ложится крем шикарно, не подчеркивает рельеф, не проваливается, не темнеет, реально волшебная вуаль - фотошоп. Но есть одно но! Вуаль эта подойдет обладательницам практически идеальной кожи: если вы никогда не блестите, вам не нужна сильная маскировка - крем станет, вероятно, идеальным в вашем случае. Незаметным и лишь подчеркивавшимся красоту.В обратном случае увы и ах.";3
347;"Увидела этот крем случайно на одном из маркетплейсов с хорошей скидкой. По отзывам вроде неплохой - решила заказать, попробовать.Объем у крема весьма внушительный для тональника, аж 100 мл., хватит надолго. На коробочке нет ни слова по-русски, и прочитать, что производитель указал в составе, не получится. Только на отдельно приклеенной наклейке есть информация на русском языке. 










 










Я заказала 13 тон, он идет как светло-бежевый, но на деле он не совсем светлый и мне приходится его смешивать с другим своим тональником (очень светлым), чтобы получить нужный тон. На руке видно, как он отличается от моего цвета кожи. Крем не желтит, имеет бежево-розовый оттенок, что ме не совсем подошло. 










В чистом виде я наносила его несколько раз, чтобы понять, как он поведет себя на лице, и мне не очень понравилось. Крем хорошо наносится и на моей коже ложится ровным слоем, без пятен, но долгое время остается липковатым. Его нужно обязательно закреплять пудрой. Через 2-3 часа Т-зона заметно начинает блестеть. Тоесть, получается, что по цвету я смогу его использовать только когда мое лицо немного загорит, но поскольку это будет уже в теплое время года, этот крем будет слишком жирным для моей комбинированной кожи. Вот такой замкнутый круг получается)У крема своеобразный цветочный запах. Достаточно хорошая плотность покрытия.Этот крем хорошо подойдет обладательницам смугловатой сухой кожи, с розовым оттенком.";4
348;"Всем доброго дня!не покупала - получила в подарок тональник от Клиник - и сразу же начала тестить) 










Конечно же смутил флакон без дозатора...ну да ладно! 










Консистенция ближе к жидкойЗапах легкий, едва уловимый, приятныйНа кожу наносится легко - хорошо растушевывается и практически сразу впитываетсяОщущения : Не жирный и не липкийФиниш: матовый, через часа 3 начинает блестеть. Кожа у меня нормальная, с некоторыми недостатками, но не проблемная - фото ""голой кожи"" при дневном освещени  










Кроющая способность - прям 1-2 из 5Фото с тональником  










 Стойкость примерно ...часов 5-6 не более тогоВ целом, неплохой крем, но покупать себе не буду - есть более интересные продукты)";4
349;"Безусловно было интересно попробовать косметику Sephora, но все-таки с опаской.Тон ""10 HR Wear Perfection Foundation"" купила на скидках за 417р.У тона плотное покрытие, но приятное, кремовое и тянущееся. Не сразу он мне понравился, главная проблема была использовании матирующих уходовых средств. Но под этот тон нужен питательный или увлажняющий уход. 










 










 










Перекрытие у него выше среднего, при этом нет эффекта маски. Хорошо сливается с текстурой кожи, финиш сатиновый, не самофиксирующийся. С хорошей прозрачной пудрой выглядит потрясающе весь день. Немного блеска на носу будет появлятся. 










 










Оттенок с теплым подтоном, сейчас мне подлшел хорошо. Не окисляется, поэтом увыбирать оттенки просто.Объем 25 мл, расход мизерный. Отдушки нет. Если найдете на скидках - берите конечно же)";5
